地區,綜合所得總額-變異係數(萬元)
南投縣仁愛鄉,7.9
雲林縣二崙鄉,7.8
高雄市林園區,7.8
屏東縣三地門鄉,7.8
新竹縣五峰鄉,7.7
花蓮縣萬榮鄉,7.7
屏東縣瑪家鄉,7.7
金門縣烏坵鄉,7.6
嘉義縣鹿草鄉,7.6
屏東縣林邊鄉,7.6
屏東縣春日鄉,7.6
嘉義縣布袋鎮,7.6
屏東縣鹽埔鄉,7.6
屏東縣車城鄉,7.5
澎湖縣湖西鄉,7.5
高雄市田寮區,7.5
臺南市龍崎區,7.5
苗栗縣銅鑼鄉,7.5
臺南市左鎮區,7.5
花蓮縣豐濱鄉,7.5
臺東縣長濱鄉,7.5
苗栗縣造橋鄉,7.5
臺東縣蘭嶼鄉,7.4
新竹縣尖石鄉,7.4
屏東縣南州鄉,7.4
屏東縣獅子鄉,7.4
雲林縣東勢鄉,7.4
臺東縣延平鄉,7.3
連江縣莒光鄉,7.3
連江縣北竿鄉,7.3
宜蘭縣大同鄉,7.2
臺東縣金峰鄉,7.2
宜蘭縣南澳鄉,7.2
嘉義縣阿里山鄉,7.2
連江縣東引鄉,7.0
臺東縣綠島鄉,7.0
臺東縣達仁鄉,6.9
屏東縣牡丹鄉,6.9
屏東縣泰武鄉,6.8
高雄市桃源區,6.7
屏東縣霧臺鄉,6.7
花蓮縣卓溪鄉,6.6
臺東縣海端鄉,6.5
