地區,綜合所得總額-變異係數(萬元)
彰化縣大村鄉,127.2
臺北市中正區,103.7
臺北市信義區,86.6
臺北市松山區,68.0
屏東縣恆春鎮,67.0
新竹市東區,62.3
臺北市中山區,50.2
新北市淡水區,42.4
臺北市大安區,41.9
桃園市復興區,40.9
臺北市士林區,36.4
臺中市外埔區,34.5
新竹市香山區,30.7
屏東縣佳冬鄉,29.9
彰化縣員林市,27.3
臺南市中西區,27.0
新北市石門區,25.5
臺中市大甲區,22.7
臺中市豐原區,22.5
高雄市苓雅區,22.0
臺北市北投區,22.0
新北市烏來區,21.5
新北市三重區,20.8
臺中市西區,20.6
苗栗縣竹南鎮,20.6
臺北市萬華區,20.0
彰化縣彰化市,19.8
苗栗縣南庄鄉,19.6
高雄市鳥松區,19.6
臺北市大同區,19.6
彰化縣鹿港鎮,19.4
高雄市仁武區,18.8
雲林縣斗六市,18.7
南投縣南投市,17.9
臺中市中區,17.9
高雄市鹽埕區,17.7
臺中市龍井區,17.5
臺中市北區,17.5
新竹縣寶山鄉,17.2
高雄市新興區,17.2
新北市土城區,17.2
屏東縣高樹鄉,17.1
臺中市西屯區,16.9
臺北市內湖區,16.9
新北市新店區,16.8
苗栗縣卓蘭鎮,15.8
臺北市文山區,15.7
高雄市前金區,15.6
新竹縣新豐鄉,15.6
臺南市安定區,15.6
臺中市南屯區,15.5
臺中市北屯區,15.4
新北市五股區,15.2
臺南市永康區,15.0
臺北市南港區,15.0
桃園市桃園區,14.8
高雄市湖內區,14.6
臺南市東區,14.4
高雄市大寮區,14.4
桃園市大溪區,14.2
澎湖縣西嶼鄉,14.0
臺中市沙鹿區,13.9
高雄市鼓山區,13.8
新北市萬里區,13.5
新北市八里區,13.3
臺南市新營區,13.3
新北市汐止區,13.1
新竹縣新埔鎮,13.1
高雄市鳳山區,13.1
新北市板橋區,13.0
新北市永和區,13.0
彰化縣福興鄉,12.9
高雄市前鎮區,12.8
桃園市蘆竹區,12.8
臺南市北區,12.7
基隆市仁愛區,12.7
新竹縣竹北市,12.6
臺東縣東河鄉,12.4
臺南市安平區,12.3
臺中市東區,12.2
臺南市南區,12.2
新竹縣芎林鄉,12.1
新竹市北區,12.0
桃園市新屋區,11.8
高雄市橋頭區,11.8
彰化縣和美鎮,11.8
臺中市神岡區,11.8
高雄市路竹區,11.8
新北市樹林區,11.7
彰化縣花壇鄉,11.7
臺中市大里區,11.6
新北市新莊區,11.6
高雄市左營區,11.6
高雄市岡山區,11.5
新北市三芝區,11.5
臺中市大雅區,11.5
南投縣集集鎮,11.4
高雄市三民區,11.3
新竹縣北埔鄉,11.2
臺南市歸仁區,11.1
南投縣埔里鎮,11.1
彰化縣溪州鄉,11.1
新竹縣竹東鎮,10.9
嘉義市東區,10.9
臺南市仁德區,10.9
臺中市烏日區,10.9
臺中市新社區,10.9
新北市中和區,10.8
新北市林口區,10.8
嘉義市西區,10.8
新北市石碇區,10.8
桃園市中壢區,10.8
臺中市太平區,10.8
桃園市龍潭區,10.8
臺中市石岡區,10.7
嘉義縣水上鄉,10.6
南投縣草屯鎮,10.5
桃園市楊梅區,10.4
新北市泰山區,10.4
臺中市南區,10.3
臺中市梧棲區,10.3
新北市深坑區,10.2
宜蘭縣羅東鎮,10.2
桃園市龜山區,10.2
新北市三峽區,10.2
臺中市潭子區,10.2
桃園市八德區,10.2
高雄市美濃區,10.1
臺南市佳里區,10.0
新北市蘆洲區,10.0
宜蘭縣三星鄉,9.9
彰化縣溪湖鎮,9.9
彰化縣線西鄉,9.9
臺南市山上區,9.9
基隆市中正區,9.8
基隆市安樂區,9.8
彰化縣秀水鄉,9.8
屏東縣屏東市,9.8
屏東縣東港鎮,9.8
澎湖縣七美鄉,9.8
臺南市安南區,9.8
嘉義縣民雄鄉,9.8
屏東縣潮州鎮,9.8
高雄市彌陀區,9.7
雲林縣崙背鄉,9.7
臺中市霧峰區,9.7
花蓮縣花蓮市,9.7
花蓮縣新城鄉,9.7
桃園市平鎮區,9.6
臺東縣太麻里鄉,9.6
南投縣魚池鄉,9.6
高雄市大樹區,9.6
臺南市新化區,9.5
宜蘭縣員山鄉,9.5
雲林縣斗南鎮,9.5
新北市金山區,9.5
苗栗縣通霄鎮,9.5
澎湖縣望安鄉,9.5
宜蘭縣頭城鎮,9.4
南投縣鹿谷鄉,9.4
嘉義縣大林鎮,9.4
臺中市大肚區,9.4
臺中市清水區,9.4
苗栗縣苑裡鎮,9.4
基隆市七堵區,9.3
臺中市后里區,9.3
新竹縣橫山鄉,9.3
苗栗縣頭份市,9.3
新北市坪林區,9.3
高雄市楠梓區,9.3
嘉義縣大埔鄉,9.3
宜蘭縣礁溪鄉,9.3
新北市瑞芳區,9.3
彰化縣北斗鎮,9.2
高雄市旗山區,9.2
臺南市善化區,9.2
臺南市楠西區,9.2
宜蘭縣蘇澳鎮,9.2
高雄市阿蓮區,9.2
花蓮縣玉里鎮,9.2
苗栗縣苗栗市,9.2
臺南市七股區,9.2
嘉義縣太保市,9.2
南投縣名間鄉,9.2
高雄市那瑪夏區,9.2
嘉義縣東石鄉,9.1
新北市雙溪區,9.1
彰化縣埤頭鄉,9.1
基隆市信義區,9.1
雲林縣虎尾鎮,9.1
彰化縣伸港鄉,9.1
雲林縣褒忠鄉,9.1
彰化縣埔心鄉,9.1
臺南市六甲區,9.1
苗栗縣後龍鎮,9.0
臺南市新市區,9.0
嘉義縣番路鄉,9.0
高雄市大社區,9.0
澎湖縣馬公市,9.0
彰化縣埔鹽鄉,9.0
新北市鶯歌區,9.0
彰化縣田尾鄉,8.9
高雄市甲仙區,8.9
臺南市白河區,8.9
嘉義縣朴子市,8.9
彰化縣竹塘鄉,8.9
花蓮縣壽豐鄉,8.9
高雄市梓官區,8.9
雲林縣土庫鎮,8.9
宜蘭縣五結鄉,8.9
高雄市小港區,8.9
新竹縣關西鎮,8.9
彰化縣芳苑鄉,8.9
彰化縣永靖鄉,8.9
高雄市燕巢區,8.9
臺中市大安區,8.8
宜蘭縣宜蘭市,8.8
臺東縣臺東市,8.8
屏東縣崁頂鄉,8.8
嘉義縣新港鄉,8.8
高雄市茄萣區,8.8
臺南市後壁區,8.8
嘉義縣義竹鄉,8.7
南投縣竹山鎮,8.7
臺南市麻豆區,8.7
屏東縣萬巒鄉,8.7
桃園市大園區,8.7
臺中市東勢區,8.7
臺南市南化區,8.7
臺南市關廟區,8.7
雲林縣北港鎮,8.7
花蓮縣吉安鄉,8.7
新北市平溪區,8.7
臺東縣關山鎮,8.7
南投縣水里鄉,8.7
彰化縣社頭鄉,8.7
雲林縣大埤鄉,8.7
嘉義縣竹崎鄉,8.6
花蓮縣光復鄉,8.6
新北市貢寮區,8.6
苗栗縣三義鄉,8.6
高雄市茂林區,8.6
屏東縣萬丹鄉,8.6
基隆市暖暖區,8.6
桃園市觀音區,8.5
南投縣中寮鄉,8.5
新竹縣湖口鄉,8.5
連江縣南竿鄉,8.5
臺南市玉井區,8.5
彰化縣二水鄉,8.5
嘉義縣中埔鄉,8.5
雲林縣口湖鄉,8.5
花蓮縣富里鄉,8.5
金門縣烈嶼鄉,8.5
臺南市柳營區,8.5
嘉義縣溪口鄉,8.4
嘉義縣梅山鄉,8.4
高雄市旗津區,8.4
屏東縣新園鄉,8.4
臺南市西港區,8.4
基隆市中山區,8.4
屏東縣里港鄉,8.4
南投縣國姓鄉,8.4
雲林縣四湖鄉,8.4
雲林縣水林鄉,8.4
屏東縣枋山鄉,8.4
金門縣金沙鎮,8.4
嘉義縣六腳鄉,8.4
臺南市東山區,8.4
高雄市杉林區,8.4
雲林縣臺西鄉,8.3
金門縣金湖鎮,8.3
臺東縣成功鎮,8.3
苗栗縣三灣鄉,8.3
雲林縣元長鄉,8.3
臺東縣池上鄉,8.2
雲林縣莿桐鄉,8.2
苗栗縣獅潭鄉,8.2
臺東縣大武鄉,8.2
花蓮縣秀林鄉,8.2
屏東縣來義鄉,8.2
彰化縣田中鎮,8.2
臺南市大內區,8.2
臺南市將軍區,8.2
花蓮縣鳳林鎮,8.2
宜蘭縣冬山鄉,8.2
高雄市六龜區,8.2
雲林縣西螺鎮,8.2
彰化縣芬園鄉,8.2
臺南市下營區,8.2
雲林縣古坑鄉,8.2
金門縣金城鎮,8.2
苗栗縣西湖鄉,8.2
臺南市學甲區,8.1
屏東縣新埤鄉,8.1
花蓮縣瑞穗鄉,8.1
屏東縣內埔鄉,8.1
屏東縣九如鄉,8.1
臺東縣鹿野鄉,8.1
苗栗縣泰安鄉,8.1
宜蘭縣壯圍鄉,8.1
新竹縣峨眉鄉,8.1
屏東縣琉球鄉,8.1
臺南市鹽水區,8.1
屏東縣枋寮鄉,8.1
臺東縣卑南鄉,8.1
彰化縣二林鎮,8.1
臺中市和平區,8.1
澎湖縣白沙鄉,8.0
金門縣金寧鄉,8.0
高雄市永安區,8.0
屏東縣長治鄉,8.0
屏東縣竹田鄉,8.0
苗栗縣大湖鄉,8.0
臺南市官田區,8.0
屏東縣麟洛鄉,7.9
高雄市內門區,7.9
苗栗縣頭屋鄉,7.9
苗栗縣公館鄉,7.9
屏東縣滿州鄉,7.9
雲林縣麥寮鄉,7.9
臺南市北門區,7.9
雲林縣林內鄉,7.9
南投縣信義鄉,7.9
彰化縣大城鄉,7.9
