地區,薪資所得占比(％)
彰化縣芳苑鄉,78.7
臺南市安南區,78.7
澎湖縣西嶼鄉,78.5
屏東縣高樹鄉,78.5
雲林縣麥寮鄉,78.5
新竹市北區,78.5
彰化縣埤頭鄉,78.5
南投縣魚池鄉,78.5
新北市坪林區,78.5
新北市八里區,78.5
臺南市麻豆區,78.5
臺南市仁德區,78.4
宜蘭縣宜蘭市,78.3
新北市林口區,78.3
新北市烏來區,78.3
臺中市外埔區,78.3
屏東縣潮州鎮,78.2
高雄市路竹區,78.2
高雄市湖內區,78.2
屏東縣東港鎮,78.1
屏東縣恆春鎮,78.1
彰化縣溪州鄉,78.1
南投縣竹山鎮,78.1
高雄市前鎮區,78.1
宜蘭縣員山鄉,78.0
屏東縣屏東市,77.9
南投縣集集鎮,77.9
彰化縣田尾鄉,77.8
新北市永和區,77.7
高雄市左營區,77.7
高雄市旗山區,77.7
南投縣水里鄉,77.6
雲林縣土庫鎮,77.5
桃園市桃園區,77.5
臺南市永康區,77.5
彰化縣埔心鄉,77.4
臺北市文山區,77.4
雲林縣虎尾鎮,77.2
新北市新店區,77.2
臺南市南化區,77.2
雲林縣斗南鎮,77.1
南投縣草屯鎮,77.1
新竹縣寶山鄉,77.1
彰化縣線西鄉,76.9
南投縣南投市,76.8
花蓮縣花蓮市,76.5
雲林縣西螺鎮,76.5
基隆市仁愛區,76.5
臺中市南區,76.5
臺中市太平區,76.5
臺中市梧棲區,76.4
臺中市大里區,76.3
新北市五股區,76.2
新北市淡水區,76.2
臺南市新營區,76.2
雲林縣北港鎮,76.1
彰化縣北斗鎮,76.1
南投縣埔里鎮,76.1
臺中市清水區,76.1
臺中市烏日區,76.0
臺中市霧峰區,76.0
彰化縣溪湖鎮,75.7
宜蘭縣羅東鎮,75.6
高雄市三民區,75.6
臺中市大雅區,75.6
彰化縣埔鹽鄉,75.4
高雄市岡山區,75.4
彰化縣花壇鄉,75.0
臺中市沙鹿區,75.0
雲林縣斗六市,74.8
彰化縣福興鄉,74.4
臺南市安平區,74.3
嘉義縣朴子市,74.1
嘉義市西區,74.1
彰化縣秀水鄉,73.9
臺南市南區,73.9
臺中市北屯區,73.9
高雄市鼓山區,73.8
彰化縣和美鎮,73.6
臺南市東區,73.6
臺南市北區,73.6
臺北市內湖區,73.6
臺北市萬華區,73.4
嘉義市東區,73.1
臺中市神岡區,72.9
新竹市東區,71.5
彰化縣彰化市,71.2
臺北市北投區,71.2
高雄市苓雅區,70.9
臺中市南屯區,70.7
臺中市西屯區,70.1
臺中市大甲區,70.0
臺中市北區,69.0
臺中市豐原區,69.0
臺中市東區,68.9
彰化縣鹿港鎮,68.0
臺北市大同區,66.2
彰化縣員林市,65.5
臺中市西區,63.6
臺北市信義區,63.4
屏東縣枋山鄉,62.6
高雄市鳥松區,61.6
臺北市士林區,61.1
臺北市中正區,60.9
臺北市松山區,60.7
高雄市前金區,60.4
高雄市鹽埕區,59.6
臺北市中山區,58.5
高雄市新興區,58.3
臺南市中西區,58.1
臺北市大安區,56.1
臺中市中區,55.7
彰化縣大村鄉,52.5
