地區,薪資所得占比(％)
臺東縣海端鄉,94.4
花蓮縣卓溪鄉,94.2
花蓮縣萬榮鄉,93.9
臺東縣延平鄉,93.8
臺東縣蘭嶼鄉,93.6
屏東縣泰武鄉,93.4
屏東縣霧臺鄉,93.3
屏東縣春日鄉,93.0
臺東縣達仁鄉,92.9
屏東縣來義鄉,92.8
屏東縣瑪家鄉,92.3
臺東縣長濱鄉,91.1
屏東縣獅子鄉,91.0
臺東縣金峰鄉,90.7
花蓮縣秀林鄉,90.7
屏東縣三地門鄉,90.7
宜蘭縣南澳鄉,90.5
新竹縣尖石鄉,90.4
花蓮縣豐濱鄉,90.1
屏東縣牡丹鄉,89.8
澎湖縣七美鄉,89.6
新竹縣五峰鄉,89.5
宜蘭縣大同鄉,89.5
澎湖縣望安鄉,87.6
高雄市那瑪夏區,87.4
高雄市桃源區,86.9
花蓮縣光復鄉,86.7
屏東縣佳冬鄉,86.7
苗栗縣造橋鄉,86.6
基隆市中山區,86.6
連江縣東引鄉,86.5
花蓮縣富里鄉,86.5
屏東縣新埤鄉,86.5
苗栗縣銅鑼鄉,86.3
高雄市林園區,86.3
臺東縣綠島鄉,86.1
高雄市茂林區,86.1
連江縣南竿鄉,86.0
苗栗縣頭屋鄉,86.0
新竹縣新豐鄉,86.0
新北市瑞芳區,86.0
連江縣莒光鄉,85.9
臺東縣東河鄉,85.9
基隆市安樂區,85.8
苗栗縣泰安鄉,85.7
基隆市暖暖區,85.7
屏東縣琉球鄉,85.6
桃園市觀音區,85.6
臺南市大內區,85.5
花蓮縣玉里鎮,85.2
屏東縣崁頂鄉,85.2
苗栗縣公館鄉,85.1
雲林縣林內鄉,85.0
南投縣信義鄉,85.0
新竹縣湖口鄉,85.0
新竹縣橫山鄉,85.0
高雄市茄萣區,85.0
金門縣烏坵鄉,84.9
澎湖縣湖西鄉,84.8
臺東縣卑南鄉,84.8
臺東縣大武鄉,84.8
高雄市旗津區,84.8
屏東縣南州鄉,84.7
屏東縣鹽埔鄉,84.6
臺東縣成功鎮,84.5
屏東縣枋寮鄉,84.5
新北市平溪區,84.5
臺南市下營區,84.5
基隆市七堵區,84.5
屏東縣新園鄉,84.4
苗栗縣獅潭鄉,84.4
高雄市杉林區,84.4
屏東縣長治鄉,84.3
新竹縣北埔鄉,84.3
苗栗縣西湖鄉,84.2
宜蘭縣壯圍鄉,84.2
新北市鶯歌區,84.2
苗栗縣通霄鎮,84.1
新竹縣峨眉鄉,84.1
高雄市彌陀區,84.1
臺南市北門區,84.1
金門縣烈嶼鄉,84.0
屏東縣九如鄉,84.0
南投縣仁愛鄉,84.0
臺南市柳營區,84.0
屏東縣竹田鄉,83.9
桃園市八德區,83.9
桃園市復興區,83.9
屏東縣麟洛鄉,83.8
彰化縣二水鄉,83.7
苗栗縣三義鄉,83.7
基隆市信義區,83.7
屏東縣內埔鄉,83.6
新北市深坑區,83.6
高雄市小港區,83.6
臺南市官田區,83.6
新竹縣關西鎮,83.5
新竹縣新埔鎮,83.5
桃園市楊梅區,83.5
桃園市新屋區,83.5
花蓮縣壽豐鄉,83.4
屏東縣滿州鄉,83.4
桃園市平鎮區,83.4
臺南市將軍區,83.4
新竹縣竹東鎮,83.2
基隆市中正區,83.2
苗栗縣頭份市,83.1
新北市雙溪區,83.1
臺中市和平區,83.1
臺東縣關山鎮,83.0
臺南市關廟區,83.0
臺南市六甲區,82.9
臺南市七股區,82.9
苗栗縣三灣鄉,82.8
苗栗縣大湖鄉,82.8
桃園市大園區,82.8
宜蘭縣五結鄉,82.8
新北市萬里區,82.8
連江縣北竿鄉,82.7
屏東縣林邊鄉,82.6
屏東縣車城鄉,82.6
雲林縣四湖鄉,82.6
高雄市大樹區,82.6
高雄市永安區,82.6
高雄市梓官區,82.6
屏東縣萬巒鄉,82.5
嘉義縣布袋鎮,82.5
苗栗縣後龍鎮,82.5
新北市貢寮區,82.5
臺南市龍崎區,82.5
嘉義縣鹿草鄉,82.4
桃園市龍潭區,82.4
雲林縣古坑鄉,82.3
南投縣中寮鄉,82.3
宜蘭縣蘇澳鎮,82.3
高雄市內門區,82.3
臺南市山上區,82.3
花蓮縣吉安鄉,82.2
新北市金山區,82.2
金門縣金湖鎮,82.1
苗栗縣苗栗市,82.1
臺南市後壁區,82.1
雲林縣東勢鄉,82.0
彰化縣芬園鄉,82.0
臺東縣池上鄉,81.9
澎湖縣白沙鄉,81.8
嘉義縣阿里山鄉,81.8
苗栗縣南庄鄉,81.8
新北市土城區,81.8
高雄市楠梓區,81.8
金門縣金寧鄉,81.7
南投縣名間鄉,81.7
臺南市新市區,81.7
花蓮縣鳳林鎮,81.6
新竹縣竹北市,81.6
宜蘭縣冬山鄉,81.6
臺南市東山區,81.6
嘉義縣水上鄉,81.5
雲林縣口湖鄉,81.5
新竹縣芎林鄉,81.5
新北市中和區,81.5
嘉義縣溪口鄉,81.4
南投縣國姓鄉,81.4
新北市泰山區,81.4
新北市汐止區,81.4
臺南市善化區,81.4
臺南市左鎮區,81.4
雲林縣臺西鄉,81.3
高雄市橋頭區,81.3
臺南市學甲區,81.3
金門縣金沙鎮,81.2
花蓮縣瑞穗鄉,81.2
嘉義縣太保市,81.2
南投縣鹿谷鄉,81.2
新北市三峽區,81.2
花蓮縣新城鄉,81.1
屏東縣萬丹鄉,81.1
嘉義縣東石鄉,81.1
彰化縣田中鎮,81.1
高雄市美濃區,81.1
臺中市大肚區,81.1
宜蘭縣頭城鎮,81.0
臺南市新化區,81.0
臺東縣太麻里鄉,80.9
嘉義縣大林鎮,80.9
嘉義縣民雄鄉,80.9
嘉義縣新港鄉,80.9
嘉義縣大埔鄉,80.9
桃園市中壢區,80.9
高雄市大寮區,80.9
臺中市大安區,80.9
高雄市燕巢區,80.8
金門縣金城鎮,80.7
雲林縣大埤鄉,80.7
彰化縣大城鄉,80.7
苗栗縣卓蘭鎮,80.7
臺南市玉井區,80.7
臺東縣鹿野鄉,80.6
苗栗縣苑裡鎮,80.6
苗栗縣竹南鎮,80.6
彰化縣社頭鄉,80.5
高雄市大社區,80.5
臺南市西港區,80.5
臺南市楠西區,80.5
嘉義縣中埔鄉,80.4
嘉義縣竹崎鄉,80.4
宜蘭縣三星鄉,80.4
新北市三芝區,80.4
嘉義縣義竹鄉,80.3
高雄市鳳山區,80.3
澎湖縣馬公市,80.2
雲林縣莿桐鄉,80.2
新北市石碇區,80.2
臺南市鹽水區,80.2
臺中市新社區,80.2
嘉義縣六腳鄉,80.1
雲林縣二崙鄉,80.1
桃園市大溪區,80.1
臺東縣臺東市,80.0
雲林縣元長鄉,80.0
高雄市阿蓮區,80.0
新北市石門區,79.9
臺南市安定區,79.9
雲林縣崙背鄉,79.8
雲林縣褒忠鄉,79.8
高雄市六龜區,79.8
臺中市石岡區,79.8
宜蘭縣礁溪鄉,79.7
臺中市龍井區,79.7
臺中市后里區,79.6
臺北市南港區,79.6
高雄市仁武區,79.5
屏東縣里港鄉,79.4
高雄市甲仙區,79.3
桃園市龜山區,79.2
新北市新莊區,79.2
臺南市歸仁區,79.2
嘉義縣梅山鄉,79.1
雲林縣水林鄉,79.1
桃園市蘆竹區,79.1
彰化縣伸港鄉,79.0
彰化縣永靖鄉,79.0
新北市蘆洲區,79.0
新北市板橋區,79.0
彰化縣竹塘鄉,78.9
高雄市田寮區,78.9
臺南市佳里區,78.9
臺中市東勢區,78.9
新北市三重區,78.8
新北市樹林區,78.8
臺南市白河區,78.8
臺中市潭子區,78.8
嘉義縣番路鄉,78.7
新竹市香山區,78.7
彰化縣二林鎮,78.7
