地區,綜合所得總額-平均數(萬元)
嘉義縣梅山鄉,60.9
苗栗縣銅鑼鄉,60.9
苗栗縣造橋鄉,60.9
高雄市湖內區,60.9
南投縣仁愛鄉,60.8
臺南市山上區,60.8
臺中市石岡區,60.8
臺中市太平區,60.7
屏東縣枋山鄉,60.6
嘉義縣六腳鄉,60.6
嘉義縣阿里山鄉,60.6
彰化縣二林鎮,60.6
南投縣鹿谷鄉,60.6
新北市石門區,60.6
嘉義縣水上鄉,60.5
彰化縣溪湖鎮,60.5
彰化縣竹塘鄉,60.5
嘉義縣中埔鄉,60.4
雲林縣崙背鄉,60.4
屏東縣牡丹鄉,60.3
彰化縣和美鎮,60.3
苗栗縣後龍鎮,60.3
高雄市阿蓮區,60.2
臺中市大肚區,60.2
臺中市新社區,60.1
臺中市和平區,60.1
屏東縣高樹鄉,60.0
彰化縣秀水鄉,60.0
臺東縣池上鄉,59.9
新北市貢寮區,59.9
嘉義縣番路鄉,59.8
彰化縣溪州鄉,59.8
宜蘭縣壯圍鄉,59.8
苗栗縣大湖鄉,59.7
苗栗縣獅潭鄉,59.6
新北市石碇區,59.6
新北市雙溪區,59.6
新北市三芝區,59.6
彰化縣埤頭鄉,59.5
南投縣魚池鄉,59.5
雲林縣水林鄉,59.4
高雄市永安區,59.4
臺南市安南區,59.4
臺東縣達仁鄉,59.3
雲林縣東勢鄉,59.3
屏東縣鹽埔鄉,59.2
屏東縣枋寮鄉,59.2
雲林縣四湖鄉,59.2
宜蘭縣頭城鎮,59.2
臺中市東勢區,59.2
臺中市清水區,59.2
雲林縣臺西鄉,58.8
臺南市白河區,58.7
雲林縣大埤鄉,58.6
南投縣信義鄉,58.6
屏東縣九如鄉,58.5
嘉義縣布袋鎮,58.4
南投縣水里鄉,58.4
苗栗縣卓蘭鎮,58.4
新北市萬里區,58.4
臺南市西港區,58.4
臺南市學甲區,58.4
臺東縣卑南鄉,58.3
新竹縣五峰鄉,58.3
高雄市梓官區,58.2
澎湖縣西嶼鄉,58.1
臺東縣太麻里鄉,58.1
嘉義縣溪口鄉,58.0
南投縣名間鄉,58.0
臺中市神岡區,58.0
雲林縣元長鄉,57.9
彰化縣福興鄉,57.8
臺東縣鹿野鄉,57.7
嘉義縣竹崎鄉,57.7
臺中市后里區,57.7
臺南市楠西區,57.6
花蓮縣壽豐鄉,57.5
宜蘭縣大同鄉,57.5
彰化縣田尾鄉,57.4
苗栗縣苑裡鎮,57.3
屏東縣新埤鄉,57.2
屏東縣獅子鄉,57.1
苗栗縣通霄鎮,57.1
新竹縣尖石鄉,57.1
臺南市東山區,57.1
臺南市南化區,57.1
雲林縣莿桐鄉,57.0
彰化縣永靖鄉,57.0
彰化縣大城鄉,56.9
新北市金山區,56.9
屏東縣琉球鄉,56.8
彰化縣社頭鄉,56.8
臺南市大內區,56.6
臺南市關廟區,56.5
高雄市彌陀區,56.2
花蓮縣光復鄉,56.1
屏東縣泰武鄉,56.0
雲林縣林內鄉,56.0
屏東縣三地門鄉,55.9
嘉義縣大埔鄉,55.9
屏東縣車城鄉,55.8
嘉義縣東石鄉,55.8
高雄市茂林區,55.8
彰化縣芳苑鄉,55.7
臺中市大安區,55.7
彰化縣埔心鄉,55.6
宜蘭縣南澳鄉,55.5
臺南市左鎮區,55.5
高雄市田寮區,55.4
彰化縣埔鹽鄉,55.3
臺東縣大武鄉,55.2
高雄市杉林區,55.2
臺南市七股區,55.2
屏東縣滿州鄉,55.1
彰化縣芬園鄉,55.1
新北市平溪區,54.9
高雄市六龜區,54.9
臺南市龍崎區,54.9
屏東縣春日鄉,54.7
臺南市北門區,54.5
彰化縣線西鄉,54.4
南投縣中寮鄉,54.3
高雄市旗津區,54.3
高雄市內門區,54.1
臺南市將軍區,53.8
臺東縣成功鎮,53.6
高雄市甲仙區,53.6
雲林縣口湖鄉,53.3
臺東縣東河鄉,53.2
彰化縣伸港鄉,52.7
臺東縣海端鄉,52.5
花蓮縣瑞穗鄉,52.5
花蓮縣富里鄉,52.5
南投縣國姓鄉,52.5
屏東縣瑪家鄉,51.9
高雄市茄萣區,51.3
臺東縣延平鄉,50.7
花蓮縣卓溪鄉,50.7
花蓮縣秀林鄉,50.0
花蓮縣萬榮鄉,47.9
花蓮縣豐濱鄉,45.8
屏東縣來義鄉,44.7
臺東縣長濱鄉,42.6
