地區,申報戶數(戶)
新北市板橋區,"145,555"
新北市中和區,"117,987"
新北市新莊區,"107,297"
桃園市桃園區,"104,445"
臺北市大安區,"103,780"
新北市三重區,"98,484"
桃園市中壢區,"90,515"
新北市新店區,"86,368"
高雄市三民區,"84,651"
臺北市士林區,"83,556"
臺北市內湖區,"80,287"
臺北市文山區,"76,362"
高雄市鳳山區,"75,675"
臺北市北投區,"71,034"
臺北市中山區,"70,496"
臺北市信義區,"69,053"
新北市永和區,"67,905"
臺北市松山區,"66,360"
新北市土城區,"59,415"
彰化縣彰化市,"57,599"
新北市汐止區,"56,970"
臺中市北屯區,"56,167"
新竹市東區,"52,522"
桃園市平鎮區,"50,331"
臺中市西屯區,"49,734"
臺北市萬華區,"48,440"
臺北市中正區,"48,141"
新北市蘆洲區,"47,145"
臺南市永康區,"46,953"
臺南市東區,"46,510"
高雄市苓雅區,"46,129"
新北市樹林區,"45,422"
高雄市前鎮區,"45,048"
高雄市左營區,"42,633"
桃園市八德區,"42,521"
臺中市大里區,"42,461"
屏東縣屏東市,"40,891"
新北市淡水區,"39,944"
臺中市豐原區,"39,392"
高雄市楠梓區,"38,619"
新竹縣竹北市,"38,240"
新竹市北區,"38,235"
臺中市南屯區,"38,078"
桃園市蘆竹區,"37,618"
桃園市楊梅區,"36,441"
臺北市大同區,"36,049"
桃園市龜山區,"35,078"
臺中市太平區,"35,019"
高雄市小港區,"34,854"
臺中市北區,"34,392"
臺南市安南區,"33,833"
臺北市南港區,"33,594"
高雄市鼓山區,"30,978"
臺南市北區,"30,617"
臺中市西區,"30,091"
嘉義市西區,"29,410"
臺中市南區,"29,050"
嘉義市東區,"27,548"
彰化縣員林市,"27,508"
桃園市龍潭區,"26,741"
臺南市南區,"26,700"
苗栗縣頭份市,"24,479"
花蓮縣花蓮市,"24,176"
新竹縣竹東鎮,"23,894"
臺中市潭子區,"23,533"
南投縣南投市,"23,300"
苗栗縣苗栗市,"23,003"
新北市三峽區,"22,797"
雲林縣斗六市,"22,703"
基隆市安樂區,"22,637"
高雄市岡山區,"22,331"
新北市林口區,"21,599"
彰化縣和美鎮,"21,394"
新北市鶯歌區,"21,037"
高雄市大寮區,"21,017"
新北市泰山區,"20,987"
宜蘭縣宜蘭市,"20,751"
南投縣草屯鎮,"20,316"
苗栗縣竹南鎮,"19,923"
臺中市大雅區,"19,724"
桃園市大園區,"19,565"
臺南市中西區,"19,248"
新北市五股區,"19,170"
桃園市大溪區,"19,131"
新竹縣湖口鄉,"18,975"
新竹市香山區,"18,826"
彰化縣鹿港鎮,"18,752"
臺中市清水區,"18,682"
臺東縣臺東市,"18,680"
臺南市新營區,"18,386"
臺中市沙鹿區,"18,105"
花蓮縣吉安鄉,"17,645"
臺中市大甲區,"17,591"
臺中市龍井區,"16,906"
臺中市東區,"16,493"
宜蘭縣羅東鎮,"16,101"
高雄市仁武區,"16,059"
臺南市仁德區,"15,751"
臺中市烏日區,"15,465"
高雄市新興區,"14,773"
基隆市七堵區,"14,753"
臺中市神岡區,"14,635"
臺南市歸仁區,"14,110"
高雄市林園區,"14,074"
基隆市信義區,"13,916"
桃園市觀音區,"13,884"
嘉義縣民雄鄉,"13,702"
基隆市中正區,"13,656"
臺中市霧峰區,"13,514"
臺南市安平區,"13,414"
雲林縣虎尾鎮,"13,030"
臺中市梧棲區,"13,014"
臺中市大肚區,"12,909"
新竹縣新豐鄉,"12,837"
南投縣埔里鎮,"12,756"
基隆市中山區,"12,690"
臺南市佳里區,"12,224"
高雄市路竹區,"12,156"
基隆市仁愛區,"11,996"
宜蘭縣冬山鄉,"11,714"
臺中市后里區,"11,026"
桃園市新屋區,"10,982"
高雄市鳥松區,"10,749"
苗栗縣苑裡鎮,"10,710"
澎湖縣馬公市,"10,695"
彰化縣溪湖鎮,"10,357"
彰化縣花壇鄉,"10,181"
臺南市麻豆區,"10,051"
彰化縣福興鄉,"9,892"
屏東縣潮州鎮,"9,751"
臺中市東勢區,"9,669"
臺南市善化區,"9,639"
基隆市暖暖區,"9,534"
新北市瑞芳區,"9,379"
南投縣竹山鎮,"9,026"
屏東縣內埔鄉,"8,981"
臺南市新化區,"8,856"
嘉義縣水上鄉,"8,854"
新竹縣新埔鎮,"8,849"
高雄市橋頭區,"8,757"
雲林縣斗南鎮,"8,744"
彰化縣社頭鄉,"8,641"
