地區,申報戶數(戶)
宜蘭縣五結鄉,"8,486"
彰化縣秀水鄉,"8,422"
彰化縣二林鎮,"8,406"
宜蘭縣蘇澳鎮,"8,400"
彰化縣田中鎮,"8,398"
新北市八里區,"8,272"
苗栗縣通霄鎮,"8,217"
苗栗縣後龍鎮,"8,136"
屏東縣萬丹鄉,"8,115"
臺南市新市區,"8,109"
高雄市前金區,"7,990"
高雄市大樹區,"7,795"
苗栗縣公館鄉,"7,634"
嘉義縣朴子市,"7,608"
雲林縣北港鎮,"7,590"
屏東縣東港鎮,"7,583"
高雄市梓官區,"7,572"
彰化縣伸港鄉,"7,563"
臺南市關廟區,"7,199"
新竹縣關西鎮,"7,198"
彰化縣永靖鄉,"7,185"
雲林縣西螺鎮,"7,179"
彰化縣大村鄉,"7,172"
金門縣金城鎮,"7,020"
嘉義縣中埔鄉,"6,988"
高雄市大社區,"6,980"
宜蘭縣礁溪鄉,"6,953"
彰化縣埔心鄉,"6,713"
彰化縣埔鹽鄉,"6,489"
南投縣名間鄉,"6,482"
高雄市湖內區,"6,435"
臺中市外埔區,"6,425"
高雄市鹽埕區,"6,369"
高雄市旗山區,"6,338"
高雄市美濃區,"6,331"
彰化縣北斗鎮,"6,314"
嘉義縣太保市,"6,280"
新北市深坑區,"6,043"
屏東縣新園鄉,"5,802"
宜蘭縣員山鄉,"5,770"
臺南市安定區,"5,751"
高雄市阿蓮區,"5,747"
高雄市燕巢區,"5,684"
嘉義縣大林鎮,"5,641"
高雄市茄萣區,"5,629"
新北市三芝區,"5,513"
宜蘭縣頭城鎮,"5,506"
嘉義縣新港鄉,"5,437"
臺南市學甲區,"5,392"
彰化縣埤頭鄉,"5,229"
新北市金山區,"5,133"
雲林縣莿桐鄉,"5,119"
嘉義縣竹崎鄉,"5,103"
新竹縣芎林鄉,"5,034"
屏東縣長治鄉,"5,021"
臺南市鹽水區,"4,992"
雲林縣古坑鄉,"4,899"
雲林縣麥寮鄉,"4,892"
高雄市旗津區,"4,884"
臺南市白河區,"4,771"
臺南市六甲區,"4,707"
彰化縣溪州鄉,"4,705"
彰化縣田尾鄉,"4,656"
臺南市下營區,"4,637"
彰化縣芬園鄉,"4,564"
雲林縣土庫鎮,"4,550"
臺南市後壁區,"4,538"
臺南市西港區,"4,529"
彰化縣芳苑鄉,"4,489"
臺南市官田區,"4,471"
宜蘭縣壯圍鄉,"4,445"
嘉義縣布袋鎮,"4,431"
苗栗縣銅鑼鄉,"4,415"
金門縣金湖鎮,"4,413"
屏東縣恆春鎮,"4,341"
臺中市中區,"4,329"
新北市萬里區,"4,231"
臺南市柳營區,"4,139"
臺中市大安區,"4,089"
花蓮縣玉里鎮,"4,041"
雲林縣元長鄉,"4,033"
雲林縣口湖鄉,"3,941"
宜蘭縣三星鄉,"3,882"
雲林縣崙背鄉,"3,851"
苗栗縣三義鄉,"3,821"
臺中市新社區,"3,754"
嘉義縣六腳鄉,"3,746"
高雄市彌陀區,"3,661"
雲林縣四湖鄉,"3,655"
雲林縣二崙鄉,"3,650"
花蓮縣新城鄉,"3,643"
彰化縣線西鄉,"3,617"
屏東縣枋寮鄉,"3,609"
雲林縣水林鄉,"3,609"
金門縣金寧鄉,"3,608"
新竹縣寶山鄉,"3,534"
屏東縣里港鄉,"3,525"
雲林縣林內鄉,"3,477"
雲林縣臺西鄉,"3,476"
臺南市七股區,"3,402"
苗栗縣造橋鄉,"3,370"
雲林縣大埤鄉,"3,359"
屏東縣鹽埔鄉,"3,330"
新竹縣橫山鄉,"3,300"
臺南市東山區,"3,230"
嘉義縣東石鄉,"3,201"
臺南市將軍區,"3,199"
嘉義縣義竹鄉,"3,145"
屏東縣九如鄉,"3,134"
臺中市石岡區,"3,097"
彰化縣二水鄉,"3,092"
花蓮縣壽豐鄉,"3,075"
南投縣水里鄉,"3,055"
屏東縣萬巒鄉,"2,988"
高雄市永安區,"2,946"
金門縣金沙鎮,"2,917"
屏東縣竹田鄉,"2,917"
屏東縣高樹鄉,"2,905"
屏東縣林邊鄉,"2,890"
屏東縣佳冬鄉,"2,681"
苗栗縣卓蘭鎮,"2,678"
苗栗縣頭屋鄉,"2,671"
新北市貢寮區,"2,647"
新北市石門區,"2,626"
嘉義縣梅山鄉,"2,567"
南投縣鹿谷鄉,"2,563"
嘉義縣溪口鄉,"2,534"
嘉義縣鹿草鄉,"2,521"
苗栗縣大湖鄉,"2,518"
南投縣國姓鄉,"2,446"
南投縣中寮鄉,"2,400"
彰化縣大城鄉,"2,347"
雲林縣東勢鄉,"2,332"
臺南市玉井區,"2,323"
花蓮縣秀林鄉,"2,318"
南投縣魚池鄉,"2,281"
新竹縣北埔鄉,"2,271"
彰化縣竹塘鄉,"2,267"
臺東縣成功鎮,"2,248"
臺東縣卑南鄉,"2,219"
屏東縣崁頂鄉,"2,213"
屏東縣麟洛鄉,"2,211"
花蓮縣鳳林鎮,"2,202"
花蓮縣光復鄉,"2,195"
雲林縣褒忠鄉,"2,110"
新北市雙溪區,"2,079"
澎湖縣湖西鄉,"2,043"
南投縣集集鎮,"1,949"
高雄市內門區,"1,945"
臺南市大內區,"1,892"
屏東縣南州鄉,"1,860"
花蓮縣瑞穗鄉,"1,856"
苗栗縣南庄鄉,"1,789"
臺南市北門區,"1,789"
新北市石碇區,"1,636"
臺南市山上區,"1,621"
苗栗縣西湖鄉,"1,611"
金門縣烈嶼鄉,"1,588"
花蓮縣富里鄉,"1,550"
連江縣南竿鄉,"1,524"
苗栗縣三灣鄉,"1,520"
高雄市六龜區,"1,498"
嘉義縣番路鄉,"1,480"
臺南市楠西區,"1,448"
臺東縣關山鎮,"1,444"
南投縣仁愛鄉,"1,439"
屏東縣新埤鄉,"1,418"
南投縣信義鄉,"1,404"
屏東縣琉球鄉,"1,397"
高雄市杉林區,"1,350"
臺東縣池上鄉,"1,285"
高雄市田寮區,"1,271"
屏東縣車城鄉,"1,249"
新竹縣峨眉鄉,"1,246"
新北市坪林區,"1,244"
臺東縣長濱鄉,"1,228"
桃園市復興區,"1,225"
臺東縣太麻里鄉,"1,208"
澎湖縣白沙鄉,"1,205"
臺中市和平區,"1,177"
臺南市南化區,"1,168"
新北市平溪區,"1,124"
臺東縣東河鄉,"1,122"
新北市烏來區,"1,108"
屏東縣來義鄉,"1,055"
臺東縣鹿野鄉,"1,050"
澎湖縣西嶼鄉,"1,031"
花蓮縣萬榮鄉,"1,023"
屏東縣滿州鄉,"1,013"
高雄市甲仙區,972
新竹縣尖石鄉,909
臺東縣大武鄉,898
屏東縣瑪家鄉,872
宜蘭縣南澳鄉,826
花蓮縣卓溪鄉,825
苗栗縣獅潭鄉,788
臺南市左鎮區,746
臺南市龍崎區,694
花蓮縣豐濱鄉,671
屏東縣三地門鄉,654
澎湖縣望安鄉,638
臺東縣綠島鄉,589
屏東縣枋山鄉,577
嘉義縣大埔鄉,574
宜蘭縣大同鄉,574
屏東縣牡丹鄉,572
臺東縣海端鄉,559
苗栗縣泰安鄉,557
澎湖縣七美鄉,553
嘉義縣阿里山鄉,526
新竹縣五峰鄉,526
臺東縣延平鄉,498
屏東縣獅子鄉,473
高雄市桃源區,471
臺東縣蘭嶼鄉,436
屏東縣泰武鄉,435
臺東縣達仁鄉,422
連江縣北竿鄉,382
屏東縣霧臺鄉,381
屏東縣春日鄉,380
臺東縣金峰鄉,303
連江縣莒光鄉,275
高雄市那瑪夏區,274
高雄市茂林區,252
連江縣東引鄉,249
金門縣烏坵鄉,121
