地區,綜合所得總額-中位數(萬元)
南投縣集集鎮,48.7
宜蘭縣礁溪鄉,48.7
宜蘭縣三星鄉,48.7
高雄市永安區,48.7
高雄市旗山區,48.7
臺南市鹽水區,48.7
臺南市玉井區,48.7
臺東縣太麻里鄉,48.6
雲林縣褒忠鄉,48.6
臺東縣卑南鄉,48.3
屏東縣枋山鄉,48.3
雲林縣水林鄉,48.3
南投縣鹿谷鄉,48.3
新北市坪林區,48.3
屏東縣恆春鎮,48.2
南投縣埔里鎮,48.2
苗栗縣後龍鎮,48.2
花蓮縣新城鄉,48.1
嘉義縣水上鄉,48.1
雲林縣四湖鄉,48.1
臺南市山上區,48.1
臺中市豐原區,48.0
花蓮縣鳳林鎮,47.9
屏東縣東港鎮,47.9
屏東縣里港鄉,47.9
嘉義縣番路鄉,47.9
新竹縣尖石鄉,47.9
臺東縣達仁鄉,47.8
屏東縣枋寮鄉,47.8
屏東縣三地門鄉,47.8
臺中市新社區,47.8
臺中市和平區,47.8
嘉義縣溪口鄉,47.7
彰化縣埤頭鄉,47.7
苗栗縣南庄鄉,47.7
屏東縣九如鄉,47.6
屏東縣鹽埔鄉,47.6
新北市瑞芳區,47.6
臺南市學甲區,47.6
臺南市南區,47.5
臺南市西港區,47.5
臺中市外埔區,47.5
臺中市霧峰區,47.5
雲林縣元長鄉,47.4
高雄市阿蓮區,47.4
高雄市湖內區,47.4
臺南市南化區,47.4
臺東縣池上鄉,47.2
屏東縣高樹鄉,47.2
彰化縣秀水鄉,47.2
宜蘭縣頭城鎮,47.2
臺南市安南區,47.2
臺中市太平區,47.2
臺中市大甲區,47.1
新北市石碇區,47.0
臺中市清水區,47.0
嘉義縣大埔鄉,46.9
臺南市大內區,46.9
臺南市白河區,46.8
臺中市石岡區,46.8
屏東縣琉球鄉,46.7
彰化縣溪湖鎮,46.7
雲林縣莿桐鄉,46.6
南投縣名間鄉,46.5
新北市雙溪區,46.5
臺中市東勢區,46.5
臺中市大安區,46.5
彰化縣大城鄉,46.4
高雄市梓官區,46.4
臺南市東山區,46.4
彰化縣大村鄉,46.3
彰化縣社頭鄉,46.3
苗栗縣獅潭鄉,46.3
宜蘭縣大同鄉,46.3
臺東縣大武鄉,46.2
嘉義縣東石鄉,46.2
苗栗縣通霄鎮,46.2
新北市三芝區,46.2
臺南市關廟區,46.2
臺中市后里區,46.2
彰化縣和美鎮,46.1
彰化縣田尾鄉,46.1
新北市貢寮區,46.1
高雄市彌陀區,46.1
嘉義縣竹崎鄉,46.0
彰化縣溪州鄉,46.0
雲林縣林內鄉,45.9
臺南市龍崎區,45.9
彰化縣花壇鄉,45.8
彰化縣永靖鄉,45.8
臺南市楠西區,45.8
高雄市六龜區,45.7
屏東縣新埤鄉,45.6
彰化縣芳苑鄉,45.6
臺南市北門區,45.6
雲林縣大埤鄉,45.5
屏東縣車城鄉,45.4
彰化縣鹿港鎮,45.4
高雄市茂林區,45.3
南投縣魚池鄉,45.2
苗栗縣苑裡鎮,45.2
宜蘭縣南澳鄉,45.2
高雄市田寮區,45.1
臺南市左鎮區,45.1
彰化縣芬園鄉,45.0
彰化縣埔心鄉,45.0
屏東縣滿州鄉,44.9
新北市萬里區,44.9
高雄市杉林區,44.9
臺東縣海端鄉,44.8
高雄市旗津區,44.8
