地區,薪資所得占比(％)
嘉義縣朴子市,82.4
新北市蘆洲區,82.4
嘉義縣梅山鄉,82.3
雲林縣莿桐鄉,82.3
新北市貢寮區,82.3
高雄市甲仙區,82.2
高雄市茂林區,82.2
臺南市佳里區,82.2
臺南市關廟區,82.2
南投縣竹山鎮,82.1
宜蘭縣三星鄉,82.1
新北市三重區,82.1
臺南市永康區,82.1
臺中市新社區,82.1
桃園市蘆竹區,81.9
臺南市麻豆區,81.9
雲林縣水林鄉,81.8
南投縣南投市,81.8
臺南市北門區,81.8
花蓮縣壽豐鄉,81.7
彰化縣永靖鄉,81.7
彰化縣竹塘鄉,81.7
彰化縣溪州鄉,81.7
臺南市安南區,81.7
臺南市龍崎區,81.7
嘉義縣番路鄉,81.6
新北市新莊區,81.6
雲林縣元長鄉,81.5
新竹市東區,81.4
彰化縣田尾鄉,81.4
高雄市燕巢區,81.4
臺南市白河區,81.4
基隆市仁愛區,81.4
雲林縣虎尾鎮,81.3
雲林縣口湖鄉,81.3
嘉義縣六腳鄉,81.2
新北市淡水區,81.2
臺南市歸仁區,81.2
臺中市后里區,81.2
桃園市桃園區,81.1
高雄市阿蓮區,81.1
臺中市清水區,81.1
臺中市大安區,81.1
新北市板橋區,81.0
高雄市路竹區,81.0
屏東縣高樹鄉,80.9
嘉義縣阿里山鄉,80.9
南投縣埔里鎮,80.9
新北市樹林區,80.9
臺中市龍井區,80.9
雲林縣北港鎮,80.8
彰化縣伸港鄉,80.8
彰化縣埔心鄉,80.8
臺南市南化區,80.8
嘉義縣義竹鄉,80.7
雲林縣西螺鎮,80.7
南投縣草屯鎮,80.7
臺中市外埔區,80.7
屏東縣滿州鄉,80.6
彰化縣二林鎮,80.6
高雄市前鎮區,80.6
嘉義縣中埔鄉,80.5
雲林縣土庫鎮,80.5
臺南市新營區,80.5
臺中市石岡區,80.5
南投縣鹿谷鄉,80.4
南投縣國姓鄉,80.4
新竹縣寶山鄉,80.4
新北市永和區,80.4
臺中市梧棲區,80.4
宜蘭縣員山鄉,80.3
新北市八里區,80.3
臺南市左鎮區,80.3
屏東縣恆春鎮,80.2
臺中市南區,80.2
臺北市文山區,80.2
高雄市仁武區,80.1
嘉義縣東石鄉,80.0
高雄市左營區,80.0
臺中市太平區,80.0
彰化縣埤頭鄉,79.9
新北市林口區,79.9
雲林縣斗南鎮,79.8
雲林縣褒忠鄉,79.7
南投縣水里鄉,79.7
宜蘭縣礁溪鄉,79.7
宜蘭縣羅東鎮,79.7
高雄市岡山區,79.7
高雄市田寮區,79.6
臺南市仁德區,79.6
