地區,綜合所得總額-中位數(萬元)
高雄市仁武區,52.6
臺東縣蘭嶼鄉,52.3
南投縣南投市,52.3
新北市新莊區,52.3
新北市蘆洲區,52.3
花蓮縣吉安鄉,52.2
新北市三峽區,52.2
高雄市岡山區,52.2
高雄市美濃區,52.2
臺南市永康區,52.2
基隆市七堵區,52.2
苗栗縣頭屋鄉,52.1
桃園市八德區,52.1
新北市烏來區,52.1
高雄市橋頭區,52.1
新北市土城區,52.0
桃園市大園區,51.7
高雄市林園區,51.7
基隆市中正區,51.7
基隆市仁愛區,51.7
澎湖縣湖西鄉,51.6
苗栗縣泰安鄉,51.6
高雄市桃源區,51.4
澎湖縣白沙鄉,51.3
新竹縣關西鎮,51.3
桃園市新屋區,51.2
臺南市後壁區,51.2
雲林縣北港鎮,51.1
苗栗縣公館鄉,51.1
屏東縣長治鄉,50.9
雲林縣二崙鄉,50.9
新北市樹林區,50.9
屏東縣南州鄉,50.8
嘉義縣民雄鄉,50.8
桃園市復興區,50.8
彰化縣彰化市,50.7
澎湖縣七美鄉,50.6
屏東縣潮州鎮,50.6
屏東縣牡丹鄉,50.6
嘉義縣新港鄉,50.6
雲林縣斗南鎮,50.6
宜蘭縣冬山鄉,50.6
新北市三重區,50.6
新北市八里區,50.6
屏東縣內埔鄉,50.5
嘉義縣阿里山鄉,50.5
新竹縣橫山鄉,50.5
新竹縣北埔鄉,50.4
高雄市大寮區,50.4
臺南市柳營區,50.3
臺南市麻豆區,50.3
高雄市大社區,50.2
嘉義縣大林鎮,50.1
苗栗縣三義鄉,50.1
桃園市大溪區,50.1
新北市五股區,50.1
宜蘭縣三星鄉,50.0
臺南市新市區,50.0
花蓮縣玉里鎮,49.8
新竹縣峨眉鄉,49.8
屏東縣竹田鄉,49.7
屏東縣崁頂鄉,49.7
屏東縣林邊鄉,49.7
彰化縣員林市,49.7
南投縣仁愛鄉,49.7
苗栗縣造橋鄉,49.7
屏東縣萬丹鄉,49.5
雲林縣東勢鄉,49.5
嘉義縣鹿草鄉,49.4
南投縣草屯鎮,49.4
新竹縣五峰鄉,49.4
臺南市下營區,49.4
雲林縣西螺鎮,49.3
宜蘭縣五結鄉,49.3
新北市坪林區,49.3
澎湖縣望安鄉,49.2
屏東縣獅子鄉,49.2
雲林縣古坑鄉,49.2
南投縣集集鎮,49.2
苗栗縣銅鑼鄉,49.2
宜蘭縣礁溪鄉,49.2
宜蘭縣蘇澳鎮,49.2
雲林縣褒忠鄉,49.1
臺南市官田區,49.1
雲林縣土庫鎮,49.0
彰化縣田中鎮,49.0
宜蘭縣員山鄉,49.0
高雄市旗山區,49.0
臺中市東區,49.0
彰化縣竹塘鄉,48.9
臺南市六甲區,48.9
臺南市新化區,48.9
臺南市鹽水區,48.8
屏東縣佳冬鄉,48.7
高雄市路竹區,48.7
臺中市潭子區,48.7
臺中市大里區,48.7
嘉義縣六腳鄉,48.6
嘉義縣義竹鄉,48.6
嘉義縣中埔鄉,48.6
雲林縣崙背鄉,48.6
雲林縣臺西鄉,48.6
彰化縣二水鄉,48.5
苗栗縣南庄鄉,48.5
苗栗縣三灣鄉,48.4
苗栗縣大湖鄉,48.4
高雄市大樹區,48.4
高雄市燕巢區,48.4
臺南市佳里區,48.4
臺南市仁德區,48.4
花蓮縣鳳林鎮,48.3
屏東縣新園鄉,48.3
雲林縣水林鄉,48.3
臺東縣關山鎮,48.2
新北市鶯歌區,48.2
屏東縣萬巒鄉,48.1
彰化縣北斗鎮,48.1
南投縣竹山鎮,48.1
宜蘭縣壯圍鄉,48.1
臺南市玉井區,48.1
臺中市沙鹿區,48.1
臺東縣達仁鄉,48.0
嘉義縣梅山鄉,48.0
雲林縣四湖鄉,48.0
臺南市歸仁區,48.0
臺中市烏日區,48.0
臺中市和平區,48.0
花蓮縣新城鄉,47.9
屏東縣恆春鎮,47.9
屏東縣里港鄉,47.9
嘉義縣水上鄉,47.9
新北市瑞芳區,47.9
屏東縣三地門鄉,47.7
嘉義縣布袋鎮,47.7
臺中市大雅區,47.6
南投縣埔里鎮,47.5
彰化縣二林鎮,47.4
苗栗縣後龍鎮,47.4
新北市石碇區,47.4
臺中市龍井區,47.4
屏東縣鹽埔鄉,47.3
南投縣信義鄉,47.3
臺東縣鹿野鄉,47.2
屏東縣東港鎮,47.2
新竹縣尖石鄉,47.2
高雄市永安區,47.2
臺南市山上區,47.2
臺中市豐原區,47.2
臺東縣池上鄉,47.1
屏東縣九如鄉,47.0
南投縣鹿谷鄉,47.0
臺中市大肚區,47.0
屏東縣枋寮鄉,46.9
新北市貢寮區,46.9
臺南市安定區,46.9
屏東縣枋山鄉,46.8
臺中市梧棲區,46.8
臺中市霧峰區,46.8
臺東縣卑南鄉,46.7
臺南市南區,46.7
臺東縣太麻里鄉,46.6
雲林縣元長鄉,46.5
宜蘭縣頭城鎮,46.5
宜蘭縣大同鄉,46.5
宜蘭縣南澳鄉,46.5
彰化縣埤頭鄉,46.4
臺南市學甲區,46.4
高雄市阿蓮區,46.3
臺南市白河區,46.3
臺中市大甲區,46.3
臺中市新社區,46.3
嘉義縣溪口鄉,46.2
嘉義縣番路鄉,46.2
臺南市西港區,46.2
南投縣魚池鄉,46.1
高雄市湖內區,46.1
苗栗縣獅潭鄉,46.0
臺南市楠西區,46.0
屏東縣車城鄉,45.9
彰化縣溪湖鎮,45.9
臺南市大內區,45.9
臺中市石岡區,45.9
臺中市太平區,45.9
屏東縣高樹鄉,45.8
嘉義縣大埔鄉,45.8
屏東縣新埤鄉,45.7
臺南市南化區,45.7
臺中市東勢區,45.7
彰化縣秀水鄉,45.6
彰化縣大城鄉,45.6
南投縣名間鄉,45.6
新北市三芝區,45.5
臺南市東山區,45.5
嘉義縣竹崎鄉,45.4
新北市雙溪區,45.4
嘉義縣東石鄉,45.3
雲林縣大埤鄉,45.3
屏東縣泰武鄉,45.2
高雄市梓官區,45.2
臺南市安南區,45.2
臺中市后里區,45.2
雲林縣莿桐鄉,45.0
苗栗縣卓蘭鎮,45.0
彰化縣永靖鄉,44.9
彰化縣社頭鄉,44.9
彰化縣田尾鄉,44.9
苗栗縣通霄鎮,44.9
高雄市田寮區,44.9
臺中市清水區,44.9
花蓮縣壽豐鄉,44.8
雲林縣林內鄉,44.8
彰化縣和美鎮,44.8
彰化縣溪州鄉,44.8
臺中市外埔區,44.8
屏東縣瑪家鄉,44.7
彰化縣花壇鄉,44.7
彰化縣大村鄉,44.7
高雄市杉林區,44.7
南投縣水里鄉,44.6
苗栗縣苑裡鎮,44.5
新北市萬里區,44.4
新北市石門區,44.4
高雄市旗津區,44.4
屏東縣琉球鄉,44.3
高雄市彌陀區,44.2
臺東縣海端鄉,44.1
屏東縣滿州鄉,44.1
彰化縣鹿港鎮,44.1
彰化縣埔心鄉,44.1
彰化縣芳苑鄉,44.1
高雄市六龜區,44.0
臺南市左鎮區,43.9
新北市金山區,43.8
臺南市關廟區,43.8
花蓮縣光復鄉,43.7
彰化縣芬園鄉,43.7
屏東縣春日鄉,43.6
臺南市龍崎區,43.4
臺中市大安區,43.3
臺東縣大武鄉,43.2
臺南市北門區,43.2
澎湖縣西嶼鄉,43.1
高雄市內門區,43.1
花蓮縣卓溪鄉,43.0
臺南市將軍區,43.0
雲林縣口湖鄉,42.9
彰化縣福興鄉,42.9
臺南市七股區,42.9
高雄市茂林區,42.8
臺中市神岡區,42.7
花蓮縣富里鄉,42.6
彰化縣埔鹽鄉,42.4
臺東縣成功鎮,42.2
臺東縣東河鄉,42.1
花蓮縣瑞穗鄉,42.0
南投縣中寮鄉,42.0
新北市平溪區,42.0
高雄市甲仙區,41.8
南投縣國姓鄉,41.7
彰化縣線西鄉,41.5
彰化縣伸港鄉,41.2
臺東縣延平鄉,40.8
花蓮縣秀林鄉,40.7
高雄市茄萣區,40.0
花蓮縣豐濱鄉,39.1
花蓮縣萬榮鄉,38.3
臺東縣長濱鄉,36.2
屏東縣來義鄉,35.6
