地區,綜合所得總額-平均數(萬元)
嘉義縣新港鄉,65.2
苗栗縣三義鄉,65.2
臺南市安定區,65.2
雲林縣土庫鎮,65.0
彰化縣鹿港鎮,65.0
南投縣集集鎮,65.0
屏東縣南州鄉,64.8
彰化縣北斗鎮,64.7
苗栗縣三灣鄉,64.7
臺南市柳營區,64.7
臺南市六甲區,64.7
臺中市霧峰區,64.7
高雄市旗山區,64.4
苗栗縣西湖鄉,64.3
新北市坪林區,64.2
屏東縣東港鎮,64.1
高雄市那瑪夏區,64.1
宜蘭縣三星鄉,63.9
新北市鶯歌區,63.9
高雄市大樹區,63.8
屏東縣霧臺鄉,63.7
彰化縣花壇鄉,63.7
宜蘭縣冬山鄉,63.7
高雄市燕巢區,63.7
花蓮縣玉里鎮,63.6
臺南市玉井區,63.6
臺中市外埔區,63.6
花蓮縣新城鄉,63.5
高雄市湖內區,63.5
屏東縣林邊鄉,63.4
臺南市鹽水區,63.4
宜蘭縣礁溪鄉,63.3
臺南市下營區,63.3
臺南市官田區,63.3
屏東縣竹田鄉,63.2
臺南市山上區,63.2
屏東縣新園鄉,63.0
雲林縣西螺鎮,63.0
屏東縣里港鄉,62.9
嘉義縣梅山鄉,62.9
雲林縣二崙鄉,62.9
雲林縣崙背鄉,62.9
彰化縣田中鎮,62.9
南投縣竹山鎮,62.9
嘉義縣鹿草鄉,62.8
彰化縣二林鎮,62.8
屏東縣萬巒鄉,62.7
嘉義縣義竹鄉,62.7
臺中市清水區,62.7
苗栗縣銅鑼鄉,62.6
嘉義縣中埔鄉,62.4
彰化縣和美鎮,62.4
臺中市大肚區,62.4
臺中市太平區,62.3
屏東縣崁頂鄉,62.2
嘉義縣水上鄉,62.1
臺中市石岡區,62.1
嘉義縣番路鄉,62.0
彰化縣秀水鄉,62.0
彰化縣二水鄉,62.0
彰化縣竹塘鄉,62.0
宜蘭縣五結鄉,62.0
新北市石門區,62.0
臺東縣關山鎮,61.9
嘉義縣六腳鄉,61.9
新北市瑞芳區,61.9
臺南市安南區,61.9
臺中市新社區,61.9
雲林縣古坑鄉,61.8
南投縣鹿谷鄉,61.8
苗栗縣後龍鎮,61.8
花蓮縣鳳林鎮,61.6
高雄市阿蓮區,61.6
彰化縣溪湖鎮,61.5
宜蘭縣壯圍鄉,61.5
雲林縣褒忠鄉,61.4
高雄市永安區,61.4
桃園市復興區,61.3
屏東縣佳冬鄉,61.2
彰化縣埤頭鄉,61.2
苗栗縣獅潭鄉,61.2
宜蘭縣蘇澳鎮,61.2
臺中市東勢區,61.2
南投縣魚池鄉,61.1
新北市三芝區,61.1
屏東縣高樹鄉,61.0
彰化縣溪州鄉,61.0
臺東縣鹿野鄉,60.8
嘉義縣阿里山鄉,60.8
雲林縣東勢鄉,60.8
宜蘭縣頭城鎮,60.7
高雄市梓官區,60.7
屏東縣牡丹鄉,60.6
臺南市白河區,60.6
屏東縣枋寮鄉,60.5
彰化縣田尾鄉,60.5
新北市雙溪區,60.5
臺南市學甲區,60.5
臺東縣池上鄉,60.4
嘉義縣布袋鎮,60.4
南投縣仁愛鄉,60.4
新北市石碇區,60.4
嘉義縣溪口鄉,60.2
高雄市茂林區,60.2
雲林縣四湖鄉,60.1
雲林縣水林鄉,60.1
臺東縣卑南鄉,60.0
雲林縣臺西鄉,60.0
南投縣名間鄉,60.0
臺南市西港區,60.0
屏東縣鹽埔鄉,59.9
屏東縣獅子鄉,59.9
屏東縣九如鄉,59.8
苗栗縣大湖鄉,59.8
新北市貢寮區,59.8
臺中市和平區,59.8
高雄市桃源區,59.7
新竹縣五峰鄉,59.6
彰化縣福興鄉,59.5
臺南市南化區,59.5
臺東縣達仁鄉,59.4
新北市萬里區,59.4
雲林縣元長鄉,59.3
新竹縣尖石鄉,59.3
臺中市后里區,59.3
高雄市六龜區,59.2
臺南市東山區,59.1
臺東縣太麻里鄉,59.0
雲林縣大埤鄉,59.0
雲林縣莿桐鄉,58.9
嘉義縣竹崎鄉,58.8
彰化縣永靖鄉,58.8
彰化縣大城鄉,58.8
臺中市大安區,58.8
臺南市楠西區,58.7
臺南市關廟區,58.7
南投縣水里鄉,58.6
新北市金山區,58.6
臺中市神岡區,58.6
花蓮縣壽豐鄉,58.5
屏東縣琉球鄉,58.5
彰化縣社頭鄉,58.4
苗栗縣苑裡鎮,58.4
嘉義縣大埔鄉,58.3
彰化縣芳苑鄉,58.2
苗栗縣通霄鎮,58.2
臺南市大內區,58.0
高雄市彌陀區,57.9
屏東縣瑪家鄉,57.8
臺南市左鎮區,57.6
澎湖縣西嶼鄉,57.5
彰化縣埔心鄉,57.5
屏東縣新埤鄉,57.4
嘉義縣東石鄉,57.3
彰化縣埔鹽鄉,57.3
苗栗縣卓蘭鎮,57.3
高雄市田寮區,57.2
臺南市北門區,57.2
臺南市七股區,57.1
南投縣信義鄉,57.0
屏東縣三地門鄉,56.9
臺南市龍崎區,56.9
屏東縣滿州鄉,56.3
彰化縣線西鄉,56.2
高雄市旗津區,56.2
高雄市杉林區,56.2
雲林縣林內鄉,56.1
彰化縣芬園鄉,56.1
臺東縣大武鄉,56.0
高雄市內門區,55.7
宜蘭縣大同鄉,55.5
臺東縣成功鎮,55.2
屏東縣車城鄉,55.2
彰化縣伸港鄉,55.2
臺東縣海端鄉,55.1
新北市平溪區,55.1
臺南市將軍區,55.0
臺東縣東河鄉,54.7
南投縣中寮鄉,54.4
屏東縣泰武鄉,54.2
高雄市茄萣區,54.1
花蓮縣光復鄉,53.5
宜蘭縣南澳鄉,53.5
花蓮縣瑞穗鄉,53.0
雲林縣口湖鄉,52.8
高雄市甲仙區,52.7
花蓮縣富里鄉,52.4
南投縣國姓鄉,52.3
臺東縣延平鄉,51.0
花蓮縣卓溪鄉,49.9
屏東縣春日鄉,49.5
花蓮縣秀林鄉,48.9
花蓮縣萬榮鄉,45.1
臺東縣長濱鄉,44.9
花蓮縣豐濱鄉,44.1
屏東縣來義鄉,43.4
