地區,綜合所得總額-平均數(萬元)
臺北市大安區,167.0
新竹市東區,146.3
臺北市松山區,142.3
臺北市中正區,138.1
新竹縣寶山鄉,130.7
臺北市中山區,130.6
新竹縣竹北市,129.8
臺北市信義區,124.4
臺北市士林區,122.2
臺北市內湖區,117.5
高雄市鳥松區,111.7
臺北市文山區,111.1
臺北市北投區,105.0
高雄市新興區,102.4
臺中市西區,101.0
高雄市前金區,99.1
臺中市南屯區,97.8
新北市新店區,97.0
新北市林口區,96.7
臺南市中西區,95.5
臺中市西屯區,95.1
新北市永和區,94.9
連江縣南竿鄉,94.8
臺南市東區,94.6
新竹市北區,93.9
臺北市大同區,92.6
彰化縣大村鄉,92.5
桃園市桃園區,91.2
新竹縣竹東鎮,91.1
桃園市蘆竹區,90.7
臺北市南港區,90.6
新竹縣芎林鄉,89.9
高雄市鼓山區,89.9
高雄市苓雅區,88.5
新北市淡水區,88.3
臺中市中區,87.9
新竹市香山區,87.8
高雄市左營區,86.5
金門縣金城鎮,86.4
高雄市鹽埕區,86.4
新北市汐止區,86.3
臺中市北區,84.8
屏東縣枋山鄉,84.3
連江縣莒光鄉,84.2
連江縣北竿鄉,83.5
臺南市北區,83.0
高雄市三民區,82.8
嘉義市東區,82.6
金門縣烏坵鄉,81.9
臺南市安平區,81.9
連江縣東引鄉,81.5
金門縣金寧鄉,81.2
臺中市北屯區,80.9
桃園市中壢區,80.5
新北市板橋區,80.2
臺南市新營區,79.9
臺中市南區,79.9
臺北市萬華區,79.9
金門縣金湖鎮,79.8
桃園市龍潭區,79.4
新北市中和區,79.4
澎湖縣馬公市,79.2
新北市深坑區,78.5
彰化縣員林市,78.2
高雄市小港區,77.9
桃園市龜山區,77.8
金門縣金沙鎮,77.4
高雄市前鎮區,77.3
苗栗縣竹南鎮,76.8
基隆市安樂區,76.5
臺東縣綠島鄉,76.1
新竹縣新埔鎮,76.1
基隆市信義區,76.1
桃園市楊梅區,76.0
新竹縣新豐鄉,75.9
高雄市楠梓區,75.9
臺南市善化區,75.7
苗栗縣頭份市,75.6
桃園市平鎮區,75.5
花蓮縣花蓮市,75.3
高雄市鳳山區,75.3
雲林縣斗六市,75.0
新北市泰山區,75.0
臺南市永康區,74.3
彰化縣彰化市,74.0
南投縣南投市,74.0
苗栗縣苗栗市,74.0
宜蘭縣宜蘭市,73.6
新北市三峽區,73.4
新北市新莊區,73.2
屏東縣屏東市,73.0
金門縣烈嶼鄉,72.9
嘉義市西區,72.9
臺東縣臺東市,72.7
嘉義縣太保市,72.6
新北市蘆洲區,72.5
高雄市橋頭區,72.5
宜蘭縣羅東鎮,72.4
新北市烏來區,72.4
新竹縣湖口鄉,72.3
雲林縣虎尾鎮,71.9
基隆市仁愛區,71.6
新北市樹林區,71.5
基隆市暖暖區,71.5
新北市土城區,71.4
新北市三重區,71.3
高雄市仁武區,71.3
臺中市東區,71.0
新北市八里區,70.9
嘉義縣朴子市,70.8
高雄市岡山區,70.7
臺中市大甲區,69.9
高雄市大社區,69.8
屏東縣恆春鎮,69.6
桃園市八德區,69.6
屏東縣麟洛鄉,69.5
新北市五股區,69.5
高雄市美濃區,69.5
基隆市中山區,69.3
臺中市豐原區,69.3
臺中市沙鹿區,69.2
高雄市林園區,69.0
桃園市大溪區,68.9
桃園市大園區,68.9
基隆市七堵區,68.9
基隆市中正區,68.8
新竹縣關西鎮,68.4
花蓮縣吉安鄉,68.2
新竹縣橫山鄉,68.2
臺南市麻豆區,68.0
南投縣草屯鎮,67.9
嘉義縣民雄鄉,67.8
桃園市觀音區,67.5
高雄市大寮區,67.5
臺南市南區,67.5
澎湖縣望安鄉,67.4
屏東縣長治鄉,67.3
臺東縣蘭嶼鄉,67.0
新竹縣峨眉鄉,67.0
臺南市後壁區,67.0
臺中市大里區,67.0
臺中市潭子區,66.9
臺中市龍井區,66.9
雲林縣北港鎮,66.8
臺南市歸仁區,66.8
雲林縣麥寮鄉,66.6
臺南市仁德區,66.6
嘉義縣大林鎮,66.5
苗栗縣頭屋鄉,66.5
新竹縣北埔鄉,66.5
高雄市路竹區,66.5
臺南市新市區,66.5
臺東縣金峰鄉,66.3
苗栗縣南庄鄉,66.3
臺南市佳里區,66.2
宜蘭縣員山鄉,66.1
臺中市大雅區,66.1
臺中市烏日區,66.1
屏東縣潮州鎮,66.0
雲林縣斗南鎮,66.0
澎湖縣白沙鄉,65.9
屏東縣萬丹鄉,65.9
苗栗縣造橋鄉,65.9
桃園市新屋區,65.9
臺中市梧棲區,65.8
澎湖縣七美鄉,65.7
苗栗縣泰安鄉,65.7
澎湖縣湖西鄉,65.6
苗栗縣公館鄉,65.5
屏東縣內埔鄉,65.4
南投縣埔里鎮,65.4
臺南市新化區,65.3
