地區,股利所得占比(％)
嘉義縣大埔鄉,7.0
桃園市大園區,7.0
桃園市八德區,7.0
宜蘭縣礁溪鄉,7.0
高雄市梓官區,7.0
臺南市新化區,7.0
金門縣金寧鄉,6.9
花蓮縣瑞穗鄉,6.9
嘉義縣布袋鎮,6.9
雲林縣臺西鄉,6.9
高雄市茄萣區,6.9
高雄市旗山區,6.9
高雄市六龜區,6.9
臺南市後壁區,6.9
金門縣金城鎮,6.8
雲林縣東勢鄉,6.8
新竹縣橫山鄉,6.8
新北市鶯歌區,6.8
高雄市美濃區,6.8
臺南市將軍區,6.8
雲林縣口湖鄉,6.7
彰化縣芬園鄉,6.7
苗栗縣後龍鎮,6.7
新竹縣峨眉鄉,6.7
新北市雙溪區,6.7
高雄市旗津區,6.7
臺南市龍崎區,6.7
屏東縣高樹鄉,6.6
嘉義縣梅山鄉,6.6
宜蘭縣宜蘭市,6.6
臺南市北門區,6.6
臺南市玉井區,6.6
雲林縣四湖鄉,6.5
宜蘭縣五結鄉,6.5
彰化縣二水鄉,6.4
新北市平溪區,6.4
臺南市柳營區,6.4
臺南市六甲區,6.4
基隆市七堵區,6.4
金門縣金湖鎮,6.3
屏東縣潮州鎮,6.3
新北市金山區,6.3
連江縣南竿鄉,6.2
雲林縣古坑鄉,6.2
苗栗縣通霄鎮,6.2
苗栗縣卓蘭鎮,6.2
新竹縣湖口鄉,6.2
桃園市觀音區,6.2
基隆市中正區,6.2
屏東縣竹田鄉,6.1
新竹縣北埔鄉,6.1
高雄市彌陀區,6.1
金門縣烈嶼鄉,6.0
新竹縣新豐鄉,6.0
臺南市左鎮區,6.0
屏東縣新園鄉,5.9
南投縣國姓鄉,5.9
苗栗縣苗栗市,5.9
苗栗縣三義鄉,5.9
高雄市林園區,5.9
高雄市內門區,5.9
基隆市信義區,5.9
花蓮縣鳳林鎮,5.8
臺南市大內區,5.8
臺東縣鹿野鄉,5.7
苗栗縣西湖鄉,5.7
臺南市下營區,5.7
基隆市安樂區,5.7
花蓮縣吉安鄉,5.6
屏東縣麟洛鄉,5.6
南投縣中寮鄉,5.6
苗栗縣大湖鄉,5.6
宜蘭縣壯圍鄉,5.6
新北市瑞芳區,5.6
高雄市甲仙區,5.6
基隆市暖暖區,5.6
澎湖縣馬公市,5.5
臺東縣池上鄉,5.5
屏東縣萬巒鄉,5.5
雲林縣林內鄉,5.5
基隆市中山區,5.5
屏東縣滿州鄉,5.4
新竹縣關西鎮,5.4
屏東縣琉球鄉,5.3
臺東縣臺東市,5.2
屏東縣內埔鄉,5.2
苗栗縣公館鄉,5.1
苗栗縣頭屋鄉,5.1
臺中市和平區,5.1
屏東縣鹽埔鄉,5.0
嘉義縣阿里山鄉,5.0
連江縣莒光鄉,4.9
臺東縣卑南鄉,4.9
屏東縣長治鄉,4.9
屏東縣九如鄉,4.9
屏東縣林邊鄉,4.9
桃園市復興區,4.9
屏東縣南州鄉,4.8
臺東縣成功鎮,4.7
臺東縣關山鎮,4.7
臺東縣東河鄉,4.7
臺東縣綠島鄉,4.7
苗栗縣造橋鄉,4.7
苗栗縣獅潭鄉,4.7
南投縣信義鄉,4.6
高雄市杉林區,4.6
連江縣東引鄉,4.5
澎湖縣白沙鄉,4.5
屏東縣枋寮鄉,4.5
屏東縣崁頂鄉,4.5
花蓮縣富里鄉,4.4
屏東縣車城鄉,4.4
屏東縣新埤鄉,4.3
苗栗縣銅鑼鄉,4.3
花蓮縣壽豐鄉,4.2
花蓮縣光復鄉,4.1
花蓮縣玉里鎮,4.0
屏東縣佳冬鄉,3.9
澎湖縣湖西鄉,3.8
苗栗縣泰安鄉,3.7
澎湖縣望安鄉,3.3
金門縣烏坵鄉,3.3
南投縣仁愛鄉,3.3
臺東縣大武鄉,3.2
宜蘭縣南澳鄉,3.1
高雄市桃源區,3.1
新竹縣五峰鄉,2.7
宜蘭縣大同鄉,2.7
花蓮縣豐濱鄉,2.3
澎湖縣七美鄉,2.2
新竹縣尖石鄉,2.2
花蓮縣秀林鄉,2.0
臺東縣達仁鄉,1.9
臺東縣長濱鄉,1.7
屏東縣霧臺鄉,1.4
屏東縣瑪家鄉,1.2
花蓮縣萬榮鄉,1.1
屏東縣泰武鄉,1.1
高雄市茂林區,1.0
臺東縣蘭嶼鄉,0.9
屏東縣三地門鄉,0.9
高雄市那瑪夏區,0.9
屏東縣牡丹鄉,0.8
臺東縣延平鄉,0.6
臺東縣海端鄉,0.6
屏東縣春日鄉,0.6
花蓮縣卓溪鄉,0.5
屏東縣來義鄉,0.5
臺東縣金峰鄉,0.4
屏東縣獅子鄉,0.3
