地區,申報戶數(戶)
宜蘭縣壯圍鄉,"5,671"
臺南市西港區,"5,639"
新北市三芝區,"5,625"
臺南市鹽水區,"5,576"
彰化縣田尾鄉,"5,368"
臺南市官田區,"5,353"
高雄市旗津區,"5,296"
彰化縣溪州鄉,"5,293"
雲林縣土庫鎮,"5,286"
臺南市六甲區,"5,094"
臺南市下營區,"5,071"
花蓮縣新城鄉,"5,045"
彰化縣芬園鄉,"5,015"
屏東縣恆春鎮,"4,964"
彰化縣芳苑鄉,"4,906"
臺南市白河區,"4,885"
臺南市柳營區,"4,858"
宜蘭縣三星鄉,"4,853"
新北市金山區,"4,832"
屏東縣里港鄉,"4,820"
臺南市後壁區,"4,726"
新北市萬里區,"4,544"
新竹縣寶山鄉,"4,526"
苗栗縣銅鑼鄉,"4,429"
嘉義縣布袋鎮,"4,401"
臺中市大安區,"4,261"
花蓮縣玉里鎮,"4,228"
屏東縣鹽埔鄉,"4,180"
臺中市新社區,"4,176"
屏東縣九如鄉,"4,157"
高雄市彌陀區,"4,115"
彰化縣線西鄉,"4,103"
澎湖縣湖西鄉,"4,017"
臺中市中區,"4,000"
金門縣烈嶼鄉,"3,927"
雲林縣二崙鄉,"3,919"
雲林縣口湖鄉,"3,911"
苗栗縣三義鄉,"3,902"
雲林縣崙背鄉,"3,881"
雲林縣臺西鄉,"3,859"
屏東縣枋寮鄉,"3,855"
雲林縣元長鄉,"3,846"
嘉義縣六腳鄉,"3,817"
雲林縣林內鄉,"3,670"
臺南市七股區,"3,631"
雲林縣水林鄉,"3,584"
雲林縣四湖鄉,"3,545"
雲林縣大埤鄉,"3,528"
屏東縣萬巒鄉,"3,454"
臺中市石岡區,"3,443"
臺南市東山區,"3,394"
高雄市永安區,"3,374"
花蓮縣壽豐鄉,"3,361"
臺南市將軍區,"3,322"
苗栗縣造橋鄉,"3,295"
屏東縣竹田鄉,"3,293"
屏東縣高樹鄉,"3,260"
嘉義縣東石鄉,"3,191"
花蓮縣秀林鄉,"3,165"
嘉義縣義竹鄉,"3,149"
新竹縣橫山鄉,"3,090"
屏東縣林邊鄉,"3,071"
南投縣鹿谷鄉,"3,049"
屏東縣佳冬鄉,"3,021"
南投縣水里鄉,"3,021"
彰化縣二水鄉,"3,004"
苗栗縣卓蘭鎮,"2,959"
嘉義縣梅山鄉,"2,856"
南投縣國姓鄉,"2,769"
臺東縣卑南鄉,"2,749"
苗栗縣頭屋鄉,"2,661"
連江縣南竿鄉,"2,658"
屏東縣麟洛鄉,"2,655"
屏東縣崁頂鄉,"2,636"
嘉義縣鹿草鄉,"2,636"
新北市石門區,"2,614"
苗栗縣大湖鄉,"2,564"
南投縣魚池鄉,"2,541"
南投縣中寮鄉,"2,537"
嘉義縣溪口鄉,"2,450"
彰化縣竹塘鄉,"2,398"
臺南市玉井區,"2,365"
彰化縣大城鄉,"2,309"
雲林縣東勢鄉,"2,291"
新北市貢寮區,"2,224"
雲林縣褒忠鄉,"2,220"
新竹縣北埔鄉,"2,203"
花蓮縣光復鄉,"2,165"
花蓮縣鳳林鎮,"2,126"
南投縣集集鎮,"2,097"
屏東縣南州鄉,"2,020"
澎湖縣白沙鄉,"2,007"
